id,mode,corpus,note
280o,photo,0381.txt,neighbour
860o,photo,1590.txt,neighbour
800o,photo,1520.txt,neighbour
924o,photo,1513.txt,neighbour
833o,photo,1060.txt,neighbour
747o,photo,1292.txt,neighbour
370o,photo,0588.txt,neighbour
1069o,photo,1291.txt,neighbour
156o,photo,0222.txt,neighbour
902o,photo,1109.txt,neighbour
969o,photo,1063.txt,neighbour
1135o,photo,0965.txt,neighbour
707o,photo,1354.txt,neighbour
459o,photo,0689.txt,neighbour
816o,photo,1564.txt,neighbour
316o,photo,0287.txt,neighbour
423o,photo,0525.txt,neighbour
1098o,photo,1597.txt,neighbour
941o,photo,0962.txt,neighbour
952o,photo,1432.txt,neighbour
608o,photo,0894.txt,neighbour
242o,photo,0290B.txt,neighbour
201o,photo,0276.txt,neighbour
581o,photo,0847.txt,neighbour
763o,photo,1769.txt,neighbour
419o,photo,0554.txt,neighbour
1108o,photo,0976.txt,neighbour
848o,photo,1342.txt,neighbour
918o,photo,1299.txt,neighbour
436o,photo,0509.txt,neighbour
177o,photo,0247.txt,neighbour
949o,photo,1459.txt,neighbour
753o,photo,1231.txt,neighbour
79o,photo,0104.txt,neighbour
847o,photo,1347.txt,neighbour
755o,photo,1173.txt,neighbour
964o,photo,1107.txt,neighbour
762o,photo,1805.txt,neighbour
1022o,photo,1003.txt,neighbour
837o,photo,1897.txt,neighbour
432o,photo,0541.txt,neighbour
293o,photo,0332.txt,neighbour
184o,photo,0257.txt,neighbour
752o,photo,1235.txt,neighbour
551o,photo,0805.txt,neighbour
913o,photo,1182.txt,neighbour
483o,photo,0716.txt,neighbour
465o,photo,0654.txt,neighbour
297o,photo,0361.txt,neighbour
688o,photo,0935.txt,neighbour
534o,photo,0814.txt,neighbour
583o,photo,0833.txt,neighbour
452o,photo,0671.txt,neighbour
599o,photo,0841.txt,neighbour
261o,photo,0387.txt,neighbour
360o,photo,0632.txt,neighbour
960o,photo,1134.txt,neighbour
253o,photo,0455.txt,neighbour
467o,photo,0672.txt,neighbour
221o,photo,0495.txt,neighbour
915o,photo,1220.txt,neighbour
965o,photo,1094.txt,neighbour
227o,photo,0505.txt,neighbour
991o,photo,0945.txt,neighbour
402o,photo,0575.txt,neighbour
749o,photo,1269.txt,neighbour
678o,photo,1795.txt,neighbour
443o,photo,0670.txt,neighbour
764o,photo,1203.txt,neighbour
921o,photo,1320.txt,neighbour
463o,photo,0674.txt,neighbour
1039o,photo,1239.txt,neighbour
931o,photo,1726.txt,neighbour
466o,photo,0650.txt,neighbour
666o,photo,1540.txt,neighbour
796o,photo,1544.txt,neighbour
414o,photo,0512.txt,neighbour
769o,photo,1724.txt,neighbour
981o,photo,0991.txt,neighbour
243o,photo,0286.txt,neighbour
758o,photo,1888.txt,neighbour
262o,photo,0453.txt,neighbour
382o,photo,0579.txt,neighbour
454o,photo,0651.txt,neighbour
410o,photo,0574.txt,neighbour
409o,photo,0507.txt,neighbour
455o,photo,0645.txt,neighbour
719o,photo,1661.txt,neighbour
493o,photo,0744.txt,neighbour
910o,photo,1157.txt,neighbour
793o,photo,1549.txt,neighbour
1072o,photo,1750.txt,neighbour
734o,photo,1378.txt,neighbour
232o,photo,0452.txt,neighbour
934o,photo,1776.txt,neighbour
945o,photo,1043.txt,neighbour
1208o,photo,1486.txt,neighbour
977o,photo,1017.txt,neighbour
843o,photo,1383.txt,neighbour
706o,photo,1332.txt,neighbour
213o,photo,0503.txt,neighbour
592o,photo,0882.txt,neighbour
911o,photo,1178.txt,neighbour
547o,photo,0763.txt,neighbour
997o,photo,0959.txt,neighbour
329o,photo,0318.txt,neighbour
524o,photo,0786.txt,neighbour
1141o,photo,1170.txt,neighbour
95o,photo,0133.txt,neighbour
634o,photo,1657.txt,neighbour
438o,photo,0544.txt,neighbour
779o,photo,1747.txt,neighbour
640o,photo,1768.txt,neighbour
372o,photo,0192.txt,neighbour
835o,photo,1013.txt,neighbour
733o,photo,1406.txt,neighbour
920o,photo,1309.txt,neighbour
967o,photo,1082.txt,neighbour
905o,photo,1126.txt,neighbour
1099o,photo,1500.txt,neighbour
780o,photo,1728.txt,neighbour
982o,photo,0990.txt,neighbour
1023o,photo,1004.txt,neighbour
917o,photo,1300.txt,neighbour
193o,photo,0267.txt,neighbour
925o,photo,1581.txt,neighbour
1082o,photo,1920.txt,neighbour
830o,photo,1086.txt,neighbour
726o,photo,1610.txt,neighbour
994o,photo,1371.txt,neighbour
412o,photo,0562.txt,neighbour
434o,photo,0535.txt,neighbour
948o,photo,1095.txt,neighbour
647o,photo,1084.txt,neighbour
712o,photo,1521.txt,neighbour
930o,photo,1718.txt,neighbour
1109o,photo,0964.txt,neighbour
606o,photo,0852.txt,neighbour
171o,photo,0240.txt,neighbour
1001o,photo,0911.txt,neighbour
744o,photo,1343.txt,neighbour
696o,photo,1142.txt,neighbour
155o,photo,0218.txt,neighbour
737o,photo,1372.txt,neighbour
366o,photo,0582.txt,neighbour
367o,photo,0576.txt,neighbour
777o,photo,1767.txt,neighbour
975o,photo,1037.txt,neighbour
268o,photo,0391.txt,neighbour
1046o,photo,1322.txt,neighbour
739o,photo,1361.txt,neighbour
237o,photo,0383.txt,neighbour
984o,photo,0970.txt,neighbour
157o,photo,0223.txt,neighbour
265o,photo,0409.txt,neighbour
815o,photo,1458.txt,neighbour
1407o,photo,1567.txt,neighbour
1096o,photo,1452.txt,neighbour
1084o,photo,1773.txt,neighbour
151o,photo,0213.txt,neighbour
491o,photo,0736.txt,neighbour
865o,photo,1810.txt,neighbour
724o,photo,1660.txt,neighbour
829o,photo,1105.txt,neighbour
819o,photo,1334.txt,neighbour
461o,photo,0687.txt,neighbour
1146o,photo,1306.txt,neighbour
756o,photo,1172.txt,neighbour
526o,photo,0772.txt,neighbour
778o,photo,1762.txt,neighbour
22o,photo,0037.txt,neighbour
1139o,photo,1141B.txt,neighbour
371o,photo,0659.txt,neighbour
710o,photo,1469.txt,neighbour
585o,photo,0842.txt,neighbour
267o,photo,0410.txt,neighbour
435o,photo,0517.txt,neighbour
375o,photo,0605.txt,neighbour
527o,photo,0774.txt,neighbour
958o,photo,1158.txt,neighbour
245o,photo,0470.txt,neighbour
694o,photo,1110.txt,neighbour
1062o,photo,1736.txt,neighbour
728o,photo,1595.txt,neighbour
231o,photo,0473.txt,neighbour
689o,photo,0936.txt,neighbour
278o,photo,0368.txt,neighbour
983o,photo,0974.txt,neighbour
807o,photo,1494.txt,neighbour
854o,photo,1175.txt,neighbour
433o,photo,0536.txt,neighbour
192o,photo,0266.txt,neighbour
988o,photo,0951.txt,neighbour
961o,photo,1140.txt,neighbour
973o,photo,1055.txt,neighbour
698o,photo,1159.txt,neighbour
691o,photo,1025.txt,neighbour
503o,photo,0747.txt,neighbour
539o,photo,0798.txt,neighbour
364o,photo,0590.txt,neighbour
1364o,photo,1730.txt,neighbour
820o,photo,1330.txt,neighbour
607o,photo,0828.txt,neighbour
214o,photo,0496.txt,neighbour
470o,photo,0679.txt,neighbour
204o,photo,0279.txt,neighbour
595o,photo,0880.txt,neighbour
492o,photo,0741.txt,neighbour
904o,photo,1123.txt,neighbour
944o,photo,1000.txt,neighbour
1163o,photo,1560.txt,neighbour
536o,photo,0819.txt,neighbour
1048o,photo,1531.txt,neighbour
451o,photo,0683.txt,neighbour
264o,photo,0436.txt,neighbour
482o,photo,0728.txt,neighbour
801o,photo,1516.txt,neighbour
416o,photo,0573.txt,neighbour
290o,photo,0374.txt,neighbour
216o,photo,0486.txt,neighbour
143o,photo,0229.txt,neighbour
373o,photo,0615.txt,neighbour
644o,photo,1884.txt,neighbour
914o,photo,1195.txt,neighbour
207o,photo,0272.txt,neighbour
1201o,photo,1202.txt,neighbour
508o,photo,0706.txt,neighbour
773o,photo,1889.txt,neighbour
314o,photo,,not-in-archive
771o,photo,1523.txt,neighbour
901o,photo,1106.txt,neighbour
996o,photo,0969.txt,neighbour
1020o,photo,1111.txt,neighbour
1165o,photo,1677.txt,neighbour
1142o,photo,1214.txt,neighbour
797o,photo,1528.txt,neighbour
831o,photo,1072.txt,neighbour
866o,photo,,not-in-archive
804o,photo,1512.txt,neighbour
239o,photo,0368.txt,neighbour
798o,photo,1525.txt,neighbour
776o,photo,1785.txt,neighbour
1027o,photo,,not-in-archive
987o,photo,0957.txt,neighbour
912o,photo,1179.txt,neighbour
632o,photo,,not-in-archive
228o,photo,0501.txt,neighbour
690o,photo,0958.txt,neighbour
282o,photo,0346.txt,neighbour
212o,photo,0498.txt,neighbour
824o,photo,1241.txt,neighbour
1003o,photo,1898.txt,neighbour
229o,photo,0987B.txt,neighbour
723o,photo,1664.txt,neighbour
770o,photo,1664.txt,neighbour
1140o,photo,1169.txt,neighbour
745o,photo,1336.txt,neighbour
1066o,photo,1569.txt,neighbour
782o,photo,1710.txt,neighbour
853o,photo,,not-in-archive
743o,photo,1344.txt,neighbour
296o,photo,0354.txt,neighbour
1102o,photo,,not-in-archive
223o,photo,,not-in-archive
1167o,photo,1708.txt,neighbour
357o,photo,0606.txt,neighbour
541o,photo,0792.txt,neighbour
1042o,photo,1026.txt,neighbour
976o,photo,1028.txt,neighbour
870o,photo,,not-in-archive
1104o,photo,1317.txt,neighbour
765o,photo,1186.txt,neighbour
940o,photo,0950.txt,neighbour
292o,photo,0326.txt,neighbour
738o,photo,1364.txt,neighbour
302o,photo,0364.txt,neighbour
1171o,photo,1859.txt,neighbour
818o,photo,,not-in-archive
966o,photo,1091.txt,neighbour
808o,photo,1481.txt,neighbour
636o,photo,1725.txt,neighbour
538o,photo,0804.txt,neighbour
962o,photo,1130.txt,neighbour
1207o,photo,1083a.txt,neighbour
852o,photo,1051.txt,neighbour
368o,photo,0619.txt,neighbour
761o,photo,1811.txt,neighbour
550o,photo,0765.txt,neighbour
358o,photo,,not-in-archive
768o,photo,,not-in-archive
295o,photo,0334.txt,neighbour
839o,photo,1792.txt,neighbour
113o,photo,0162.txt,neighbour
849o,photo,,not-in-archive
429o,photo,,not-in-archive
404o,photo,,not-in-archive
685o,photo,,not-in-archive
781o,photo,,not-in-archive
1203o,photo,,not-in-archive
1158o,photo,,not-in-archive
869o,photo,1817.txt,neighbour
485o,photo,,not-in-archive
274o,photo,,not-in-archive
241o,photo,,not-in-archive
742o,photo,,not-in-archive
950o,photo,1448.txt,neighbour
916o,photo,1288.txt,neighbour
836o,photo,,not-in-archive
1065o,photo,1468.txt,neighbour
1155o,photo,,not-in-archive
705o,photo,1278.txt,neighbour
494o,photo,0745.txt,neighbour
189o,photo,0468.txt,neighbour
401o,photo,,not-in-archive
840o,photo,,not-in-archive
968o,photo,1079.txt,neighbour
328o,photo,0304.txt,neighbour
1095o,photo,1337.txt,neighbour
759o,photo,,not-in-archive
1070o,photo,,not-in-archive
479o,photo,,not-in-archive
327o,photo,0303.txt,neighbour
629o,photo,1602.txt,neighbour
729o,photo,1584.txt,neighbour
158o,photo,,not-in-archive
9o,photo,,not-in-archive
842o,photo,1386.txt,neighbour
101o,photo,,not-in-archive
1170o,photo,,not-in-archive
661o,photo,,not-in-archive
1068o,photo,,not-in-archive
1044o,photo,,not-in-archive
867o,photo,,not-in-archive
319o,photo,0322.txt,neighbour
1301o,photo,,not-in-archive
284o,photo,,not-in-archive
1152o,photo,,not-in-archive
1138o,photo,,not-in-archive
1106o,photo,,not-in-archive
1256o,photo,,not-in-archive
149o,photo,,not-in-archive
440o,photo,,not-in-archive
