volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
14,14m.jpg,verso,0,verso,,images/pages-verso/14m.png,images/archive-original/1260-1269/14m.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1267,02,18,,0,0
14,14o.jpg,recto,1,recto,,images/pages-recto/14o.png,images/archive-original/1260-1269/14o.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1267,02,18,,0,0
15,15m.jpg,verso,0,verso,,images/pages-verso/15m.png,images/archive-original/1260-1269/15m.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Pietersabdij,,1267,07,12,,0,0
15,15o.jpg,recto,1,recto,,images/pages-recto/15o.png,images/archive-original/1260-1269/15o.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Pietersabdij,,1267,07,12,,0,0
16,16m.jpg,verso,0,verso,,images/pages-verso/16m.png,images/archive-original/1260-1269/16m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1267,04,30,,0,0
16,16o.jpg,recto,1,recto,,images/pages-recto/16o.png,images/archive-original/1260-1269/16o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1267,04,30,,0,0
17,17m.jpg,verso,0,verso,,images/pages-verso/17m.png,images/archive-original/1260-1269/17m.jpg,1260-1269,6,90-cw,1,1654,2340,SA Gent,Sint-Jans-ten-Dullen,,1260,12,25,,0,0
17,17o.jpg,recto,1,recto,,images/pages-recto/17o.png,images/archive-original/1260-1269/17o.jpg,1260-1269,6,90-cw,1,1654,2340,SA Gent,Sint-Jans-ten-Dullen,,1260,12,25,,0,0
18,18m.jpg,verso,0,verso,,images/pages-verso/18m.png,images/archive-original/1260-1269/18m.jpg,1260-1269,6,90-cw,1,2024,1436,SA Gent,Stadscharters,,126x,04,xx,,0,0
18,18o.jpg,recto,1,recto,,images/pages-recto/18o.png,images/archive-original/1260-1269/18o.jpg,1260-1269,6,90-cw,1,2024,1436,SA Gent,Stadscharters,,126x,04,xx,,0,0
