filename,inverted,p2,p98,span,mean,n_interior,applied
162o.png,0,55.0,254.0,199.0,214.68038083809208,1449960,1
163o.png,0,61.0,254.0,193.0,181.12221192139452,765850,1
164o.png,0,74.0,254.0,180.0,217.76691492596382,1483261,1
165o.png,0,15.0,236.0,221.0,192.69174793567186,1257552,1
166o.png,0,3.0,234.0,231.0,196.85252205348453,2589160,1
168o.png,0,42.0,255.0,213.0,211.87133174809463,2303754,1
169o.png,0,85.0,255.0,170.0,223.3059242403319,1665530,1
170o.png,0,37.0,254.0,217.0,194.2863285634119,997920,1
171o.png,0,59.0,255.0,196.0,217.7180062378732,1561109,1
172o.png,0,62.0,255.0,193.0,221.23072891511143,1726758,1
173o.png,0,65.0,254.0,189.0,222.99660295815744,1460977,1
174o.png,0,35.0,255.0,220.0,217.50710283807365,522608,1
175o.png,0,58.0,254.0,196.0,211.43364186532222,1290844,1
176o.png,0,46.0,254.0,208.0,182.77970467293775,921690,1
177o.png,0,45.0,255.0,210.0,213.54516714737142,2146848,1
178o.png,0,62.0,254.0,192.0,208.50515671663968,1076848,1
179o.png,0,78.0,253.0,175.0,195.1449988401763,862200,1
180o.png,0,72.0,254.0,182.0,200.39236479591835,1176000,1
181o.png,0,71.0,254.0,183.0,210.9541310372406,1720488,1
182o.png,0,64.0,254.0,190.0,233.70760059268494,2079351,1
183o.png,0,58.0,254.0,196.0,226.41802776895665,1133640,1
184o.png,0,53.0,254.0,201.0,221.8409075345131,1285020,1
185o.png,0,58.0,254.0,196.0,227.28968437192992,1390434,1
186o.png,0,63.0,254.0,191.0,219.16163539538053,904344,1
187o.png,0,53.0,254.0,201.0,215.72145475902866,1651545,1
188o.png,0,77.0,254.0,177.0,217.04146838264612,2081610,1
189o.png,0,79.0,255.0,176.0,196.77819357108694,2262342,1
190o.png,0,66.0,254.0,188.0,225.23342656087067,1448070,1
191o.png,0,65.0,253.0,188.0,211.2089327111245,1328600,1
192o.png,0,74.0,254.0,180.0,235.33246559836041,2163487,1
193o.png,0,36.0,254.0,218.0,212.72525988585406,1726912,1
194o.png,0,92.0,255.0,163.0,232.62673144080097,1007398,1
195o.png,0,44.0,254.0,210.0,209.86487984773186,1177922,1
196o.png,0,65.0,254.0,189.0,224.05153493356687,1735580,1
197o.png,0,62.0,254.0,192.0,233.47467868780166,2040850,1
198o.png,0,75.0,254.0,179.0,195.11876496057448,2272640,1
199o.png,0,72.0,254.0,182.0,200.4958690510767,1205050,1
200o.png,0,68.0,254.0,186.0,225.14352319440172,1511895,1
201o.png,0,39.0,254.0,215.0,205.12040266908394,2419257,1
202o.png,0,73.0,254.0,181.0,210.45543217166093,1490380,1
203o.png,0,36.0,254.0,218.0,219.36660595208835,2201009,1
204o.png,0,40.0,254.0,214.0,211.07229748627927,2159508,1
205o.png,0,63.0,254.0,191.0,212.08411305664478,927252,1
206o.png,0,57.0,255.0,198.0,205.87045155727068,1405536,1
207o.png,0,52.0,254.0,202.0,220.26097259006235,1125942,1
208o.png,0,1.0,240.0,239.0,214.66459645782078,706853,1
209o.png,0,20.0,243.0,223.0,201.80501538711871,1339757,1
210o.png,0,1.0,248.0,247.0,198.83912128299366,598600,1
211o.png,0,63.0,255.0,192.0,183.19797153242197,1605054,1
212o.png,0,49.0,255.0,206.0,217.20425234634686,2454880,1
213o.png,0,66.0,255.0,189.0,231.83065463871506,2464260,1
214o.png,0,66.0,255.0,189.0,226.28886976306035,1339666,1
215o.png,0,65.0,255.0,190.0,224.86737920318845,2501018,1
216o.png,0,60.0,255.0,195.0,227.67946078798315,2404620,1
217o.png,0,73.0,255.0,182.0,218.76294294779532,2005146,1
218o.png,0,62.0,255.0,193.0,225.5535731982261,1614520,1
219o.png,0,69.0,255.0,186.0,215.55636190737513,1486944,1
220o.png,0,79.0,255.0,176.0,225.33655957637586,1182180,1
